nursery,forgery,messy,ˈnərsəri,ˈfɔrʤəri,ˈmɛsi
killing,spinning,caramel,ˈkɪlɪŋ,ˈspɪnɪŋ,ˈkɛrəməl
impede,weed,interject,ˌɪmˈpid,wid,ˌɪntərˈʤɛkt
color,suffer,nightclub,ˈkələr,ˈsəfə,ˈnaɪtˌkləb
impossible,prodigal,fertilizer,ˌɪmˈpɑsəbəl,ˈprɑdɪgəl,ˈfərtəˌlaɪzər
yesterday,may,discussion,ˈjɛstərˌdeɪ,meɪ,dɪˈskəʃən
fork,shirk,care,fɔrk,ʃərk,kɛr
bob,drop,aquarium,bɑb,drɔp,əkˈwɛriəm
vacuum,vacuumed,nifty,ˈvækjum,ˈvækjumd,ˈnɪfti
cushion,rushin,finisher,ˈkʊʃən,ˈrəʃɪn,ˈfɪnɪʃər
spare,fair,review,spɛr,fɛr,ˌrivˈju
shy,rectify,oversight,ʃaɪ,ˈrɛktəˌfaɪ,ˈoʊvərˌsaɪt
occupation,salesman,graft,ˌɑkjəˈpeɪʃən,ˈseɪlzmə,græft
inkling,drinking,drown,ˈɪŋklɪŋ,ˈdrɪŋkɪŋ,draʊn
ale,bail,patriot,eɪl,beɪl,ˈpeɪtriət
breakdown,freak out,dedication,ˈbreɪkˌdaʊn,frik aʊ,ˌdɛdəˈkeɪʃən
operant,tolerance,recovery,ˈɑpərənt,ˈtɑlərə,rɪˈkəvəri
fall,banal,footwear,fɔl,bəˈnɑ,ˈfʊtˌwɛr
buck,ruck,medal,bək,rə,ˈmɛdəl
offering,fostering,commitment,ˈɔfərɪŋ,ˈfɑstərɪ,kəˈmɪtmənt
shadows,hello,coat,ˈʃæˌdoʊz,hɛˈloʊ,koʊt
bair,spare,safeguard,bɛr,spɛr,ˈseɪfˌgɑrd
styling,diving,tap,ˈstaɪlɪŋ,ˈdaɪvɪŋ,tæp
balcony,colony,ex-wife,ˈbælkəni,ˈkɑləni,ɛks waɪf
stare,spare,carter,stɛr,spɛ,ˈkɑrtər
raw,straw,bid,rɑ,strɔ,bɪd
aesop,crop,treasury,ˈiˌsɑp,krɑp,ˈtrɛʒəri
swatch,scotch,chunky,swɑʧ,skɑ,ˈʧəŋki
due,ado,output,du,əˈdu,ˈaʊtˌpʊt
cucumber,juniper,rations,ˈkjukəmbər,ˈʤunəpə,ˈræʃənz
slip stitch,bridge,peer,slɪp stɪʧ,brɪʤ,pɪr
bread,spread,apprehension,brɛd,sprɛd,ˌæprɪˈhɛnʃən
launch,staunch,nymph,lɔnʧ,stɔnʧ,nɪmf
grill,pill,leeway,grɪl,pɪl,ˈliˌweɪ
resume,tray,cliff,ˈrɛzəˌmeɪ,treɪ,klɪf
kneel,creel,paramecium,nil,kri,ˌpɛrəˈmisiəm
worker,reporter,successful,ˈwərkər,rɪˈpɔrtə,səkˈsɛsfəl
sine curve,nerve,plowman,saɪn kərv,nərv,ˈplaʊmən
sprigg,big,flair,sprɪg,bɪg,flɛr
nero,sorrow,acrid,ˈnɪroʊ,ˈsɑroʊ,ˈækrɪd
dice,rice,debt,daɪs,raɪ,dɛt
silk,dried milk,cocoa,sɪlk,draɪd mɪ,ˈkoʊkoʊ
ever,cover,molding,ˈɛvər,ˈkəvər,ˈmoʊldɪŋ
kach,patch,hurry,kæʧ,pæʧ,ˈhəri
wide,bide,riot,waɪd,baɪ,raɪət
freshening,threatening,grasp,ˈfrɛʃənɪŋ,θˈrɛtənɪŋ,græsp
essay,birthday,gauntlet,ˈɛˌseɪ,ˈbərθˌdeɪ,ˈgɔntlət
loving,mugging,dearest,ˈləvɪŋ,ˈməgɪ,ˈdɪrəst
thankful,mantle,nondescript,ˈθæŋkfəl,ˈmæntə,ˈnɑndɪˈskrɪpt
lesson,delicatessen,therapist,ˈlɛsən,ˌdɛlɪkəˈtɛsə,ˈθɛrəpɪst
blockade,trade,compete,ˌblɑˈkeɪd,treɪ,kəmˈpit
attend,spend,impala,əˈtɛnd,spɛ,ˌɪmˈpɑlə
truck,woodchuck,vernacular,trək,ˈwʊˌdʧək,vərˈnækjələr
hooligan,aluminum,overflow,ˈhulɪgən,əˈlumənə,ˌoʊvərˈfloʊ
taste,waste,request,teɪst,weɪ,rɪkˈwɛst
lyre,retire,quiche,laɪr,ˌriˈtaɪə,kiʃ
atlas,mattress,apology,ˈætləs,ˈmætrə,əˈpɑləˌʤi
kill,quill,deputy,kɪl,kwɪl,ˈdɛpjəti
straight,intimate,fencing,streɪt,ˈɪnɪmə,ˈfɛnsɪŋ
stank,bank,sequel,stæŋk,bæŋk,ˈsikwəl
word,inferred,step-son,wərd,ˌɪnˈfə,stɛp sən
baroque,meadow,extract,bəroʊk,ˈmɛˌdoʊ,ˈɛkˌstrækt
victim,rhythm,governor,ˈvɪktɪm,ˈrɪðə,ˈgəvərnər
doak,coke,absent,doʊk,koʊk,ˈæbsənt
confuse,news,iris,kənfˈjuz,nu,ˈaɪrɪs
clanging,planning,wobble,ˈklæŋɪŋ,ˈplænɪ,ˈwɑbəl
reimburse,course,relay,ˌriɪmˈbərs,kɔrs,ˈriˌleɪ
strike,psych,birdhouse,straɪk,saɪ,ˈbərdhaʊs
noticed,poet,parachute,ˈnoʊtɪst,poʊə,ˈpɛrəˌʃut
recede,seed,sprout,rɪˈsid,sid,spraʊt
immerse,purse,wiring,ˌɪˈmərs,pə,ˈwaɪrɪŋ
workload,railroad,party,ˈwərˌkloʊd,ˈreɪˌlroʊd,ˈpɑrti
poor,endure,unit,pur,ɪnˈdʊ,ˈjunɪt
redford,leopard,shipping,ˈrɛdfərd,ˈlɛpərd,ˈʃɪpɪŋ
