information;taken;decomposable
for;more;this
cannot;got;success
mind;line;building
you;lose;blue
down;'round;drive
blowin';showin';start
now;out;feet
boom;moon;me
disturb;words;answer
away;ok;road
meet;everything;critical
bye;try;kind
greater;paper;mind
medicated;debating;past
results;result;father
center;together;messy
skies;lies;need
be;we;truck
can;am;arise
happen;mattress;do
frontin';nothin';done
set;get;no
about;out;fire
see;be;friend
lines;nice;for
low;show;grams
round;now;out
pills;thrills;show
me;baby;road
free;see;pier
realistically;need;eye
song;up;field
wants;stop;why
pretend;in;leave
door;hear;complicate
stop;box;news
today;always;mama
forget;met;gin
you;new;gone
blast;can't;day
cruel;you;where
you;blue;far
tonight;collide;again
sure;sun;year
fight;nights;needs
grievin';leavin';social
around;town;saigon
sociopath;ask;wearing
fall;call;leaving
out;around;sequel
inside;tonight;ringing
girl;world;tried
social;total;do
stars;hard;by
yours;door;inside
real;feel;night
two;through;crack
me;see;low
side;inside;life
air;hear;shore
quite;might;inside
grows;those;else
again;spins;air
better;together;sleep
shoe;bedroom;start
soon;want to;street
in;lift;start
you;true;clean
you;knew;disgrace
for;clear;air
viet cong;gone;further
thick;sick;crowds
arms;khe sahn;spinning
waitin';debating;before
shotgun;run;know it
thumb;dumb;one
chevy;heavy;friend
weak;weeks;we were
know;close;guitar
spell;tell;try
tonight;mine;notes
heat;street;thought
desi;next week;back
hate;blame;view
cannot;not;known
fell;tell;hair
until;still;hills
bets;regrets;fast
pretend;friends;gone
blessed;stress;stake
to;do;dress
their;hair;like
lose;amused;folks
pride;hide;therefore
mine;nights;all
khe sahn;saigon;eve
foreign;important;medicated
understand;can;singing
is;this;war
do;sue;reason
moon;you;friend
proud;loud;to
old;told;so
brain;same;ringer
police;complete;man
spy;wife;ain't
bar;are;then
home;phone;church
older;shoulder;sidewalk
need;please;good
come;young;natural
not;bought;fake
stack;back;go
highways;byway;blind
me;street;heart
top;flop;fire
them;friends;me
four;bar;freeze
hair;fair;go
haze;raised;air
work;church;go
lights;tight;fools
hassle;castle;enough
diplomat;cat;phone
dime;line;labor
never;other;bright
desecrate;violate;line
arms;charms;sky
men;when;good
surrender;splendor;marks
diplomat;at;you
paid;shade;changed
v;lady;indeed
moves;two;boom
knees;please;us
down;sound;life
confess;mess;four
day;away;rug
never;ever;tell
today;stay;lose
know;don't;chafes
lux;blood;pain
time;line;insane
ringer;finger;child
amount;without;care
lie;alight;saying
down;around;see
dust;rust;beat
been;within;jacket
close;revoked;knees
superficial;little;deserted
up;sidewalk;saying
mine;kind;work
rest;says;why
bottom;problem;disgrace
be;three;more
you;moon;sun
grooving;cruising;more
free;feet;mother
man;fireman;thang
tough;docks;hocus
goodbye;i;know
pretty;sturdy;levitating
drop;wants;changed
refinery;me;door
roof;truth;z
greater;better;out
eyes;compromise;tough
more;bore;overtime
hell;spell;emotion
do;you;made
yeah;stare;hard
by;die;gritty
satisfied;cry;day
yield;field;time
revoked;hocus;wide
rough;tough;yards
here;year;clowns
play;paid;five
time;mine;sold
secrets;need it;up
far;there;by
me;me;wife
words;converse;fine
door;sure;friend
need;me;to
hard;heart;cruel
lights;nights;you
conversation;dedication;quaking
gone;saigon;pedagogue
now;crown;phone
love;glove;frowns
prime;time;impulsive
town;'round;alright
asleep;repeat;light
while;eyes;case
discipline;citizen;somewhere
to;into;fictional
hand;can;go
repeat;week;rolling
guide;eyes;white
you;radio;boy
ring;bring;rite
rings;me;beyond
love;enough;face
waiting;escaping;play
time;fine;play
scheme;dream;test
wall;all;here
somehow;now;hours
comb;on;can
desire;fire;me
crack;back;ends
tonight;right;deer
solution;illusions;sin
although;low;air
head;read;red
mind;july;roar
common;often;you
beat;beach;again
line;tonight;amused
on;heart;dates
party;sorry;face
own;grown;baby
morning;foreign;airbnb
clean;complete;away
joe pesci;lefty;down
ooh;through;do
beer;here;mad
saying;ways;indeed
hall;wall;hurt
skies;why;way
clue;through;do
around;town;room
suddenly;company;dime
pain;stains;god
kin;again;ground
control;soul;view
bad;glad;can
phone;raincoat;course
lionel messi;fleshy;man
sand;hand;say
stereo;you;skin
shun;sun;clouds
fear;disappearing;soon
weekend;friends;die
bad;sad;who
things;mean;some
calls;falls;name
more;floor;time
ahead;mad;spy
week;teeth;can
